layer,head,pooled_blk_r,pooled_imp_r,blk_r_p,blk_lo_p,blk_hi_p,blk_r_m,blk_lo_m,blk_hi_m,imp_r_p,imp_r_m,sd_blk_p,sd_blk_m,mu_blk_p,mu_blk_m,pass_blk_010,pass_imp_010,surv_blk_att01,surv_imp_att01
0,19,-0.255854,-0.295446,-0.092945,-0.199007,0.008890,-0.159946,-0.266074,-0.035605,-0.086484,-0.260272,0.042731,0.042380,0.268775,0.262584,False,False,True,True
19,19,-0.295011,-0.047529,-0.020576,-0.150216,0.114968,-0.311999,-0.404751,-0.227932,-0.152385,-0.274044,0.009884,0.011015,0.012247,0.010550,False,True,True,False
1,17,0.230628,0.294962,0.082015,-0.022511,0.183686,-0.141965,-0.242168,-0.019490,0.035289,0.306154,0.007848,0.008320,-0.051083,-0.052412,False,False,True,True
29,6,0.050823,0.294794,0.279582,0.195270,0.363005,-0.226739,-0.310349,-0.127739,0.319562,0.031888,0.012283,0.016384,-0.004934,-0.003982,False,False,False,True
3,11,0.263660,0.294513,0.149858,0.031859,0.273319,0.173014,0.029525,0.311584,-0.010063,0.326766,0.003822,0.004041,-0.021460,-0.021629,True,False,True,True
7,5,0.267670,0.294266,0.022440,-0.085574,0.151644,0.217406,0.112372,0.314890,-0.032835,0.377098,0.007359,0.007386,-0.013283,-0.012382,False,False,True,True
11,3,-0.294152,0.021541,-0.234055,-0.370757,-0.083413,-0.167240,-0.274584,-0.065523,-0.063844,0.013379,0.084398,0.087561,0.209447,0.214166,True,False,True,False
1,24,0.267296,0.293906,0.068052,-0.029458,0.175489,0.177696,0.051518,0.295532,0.030865,0.310882,0.003507,0.003529,-0.008982,-0.008798,False,False,True,True
23,3,-0.293521,0.095744,-0.394932,-0.508510,-0.268129,0.023262,-0.099594,0.146135,-0.156118,0.043110,0.024348,0.024183,0.042468,0.037518,False,False,True,False
3,4,0.219159,0.293508,-0.181665,-0.290487,-0.077889,0.074891,-0.051426,0.192490,0.019410,0.331617,0.000663,0.000658,-0.002498,-0.002446,False,False,True,True
0,15,-0.293257,0.289950,-0.278593,-0.355817,-0.209106,-0.241128,-0.320622,-0.163181,0.141052,0.222076,0.043284,0.043184,0.172829,0.171325,True,False,True,True
10,28,-0.292777,-0.262220,-0.262693,-0.380368,-0.132156,-0.125293,-0.244112,-0.010030,-0.308023,0.069954,0.094289,0.083585,0.217258,0.217308,True,False,True,True
3,10,0.222351,0.292636,-0.089183,-0.233751,0.049614,-0.100673,-0.230906,0.020076,0.043919,0.294969,0.012086,0.012190,-0.079137,-0.078039,False,False,True,True
0,9,0.163494,0.292204,-0.237382,-0.313649,-0.158821,-0.131709,-0.225153,-0.036493,-0.007129,0.340936,0.054554,0.053506,-0.138609,-0.155405,True,False,True,True
27,2,-0.291664,0.090258,-0.356661,-0.442070,-0.255696,-0.108209,-0.234176,0.014456,-0.299416,0.149132,0.010106,0.010129,0.004701,0.003191,False,False,True,False
