layer,head,alloc_imp,alloc_imp_lo,alloc_imp_hi,track_imp_r,track_imp_lo,track_imp_hi,track_imp_nullp,surv_imp,alloc_blk,alloc_blk_lo,alloc_blk_hi,track_blk_r,track_blk_lo,track_blk_hi,track_blk_nullp,surv_blk
1,10,-0.000605,-0.000837,-0.000368,0.296498,0.207140,0.384417,0.000000,True,0.001083,0.000661,0.001520,0.240773,0.144345,0.336054,0.000000,True
24,15,-0.000232,-0.000428,-0.000055,0.296350,0.225558,0.371873,0.000000,True,-0.000832,-0.001245,-0.000428,0.266486,0.178000,0.350708,0.000000,True
29,12,-0.001195,-0.001338,-0.001056,0.295910,0.239865,0.360974,0.000000,True,-0.001695,-0.001925,-0.001469,-0.001164,-0.091432,0.091700,0.980000,False
13,31,0.006720,0.003155,0.010490,-0.014967,-0.107426,0.072819,0.646000,False,0.005723,0.001406,0.010284,-0.295459,-0.376612,-0.216645,0.000000,True
0,19,0.002857,0.002726,0.002990,-0.295446,-0.383616,-0.207362,0.000000,True,0.003095,0.002974,0.003219,-0.255854,-0.349216,-0.159877,0.000000,True
19,19,0.001173,0.000892,0.001470,-0.047529,-0.112464,0.020631,0.348000,False,0.000848,0.000319,0.001348,-0.295011,-0.377399,-0.205668,0.000000,True
1,17,0.000658,0.000409,0.000916,0.294962,0.212536,0.379963,0.000000,True,0.000664,0.000418,0.000923,0.230628,0.130716,0.329785,0.000000,True
29,6,-0.001171,-0.001635,-0.000710,0.294794,0.202421,0.389937,0.000000,True,-0.000476,-0.001248,0.000269,0.050823,-0.015320,0.129520,0.315000,False
3,11,0.000142,0.000025,0.000263,0.294513,0.209689,0.377881,0.000000,True,0.000084,-0.000025,0.000191,0.263660,0.166415,0.358515,0.000000,True
7,5,-0.000441,-0.000581,-0.000306,0.294266,0.202674,0.389663,0.000000,True,-0.000451,-0.000616,-0.000295,0.267670,0.173812,0.360576,0.000000,True
11,3,0.003447,0.001480,0.005628,0.021541,-0.066679,0.108095,0.497000,False,-0.002360,-0.004923,0.000151,-0.294152,-0.386236,-0.197426,0.000000,True
1,24,-0.000049,-0.000138,0.000043,0.293906,0.203626,0.385639,0.000000,True,-0.000092,-0.000194,0.000011,0.267296,0.168810,0.366754,0.000000,True
23,3,0.002006,0.001453,0.002547,0.095744,0.038096,0.158108,0.011000,False,0.002475,0.001239,0.003725,-0.293521,-0.382636,-0.195433,0.000000,True
3,4,-0.000024,-0.000037,-0.000011,0.293508,0.205907,0.375979,0.000000,True,-0.000026,-0.000045,-0.000007,0.219159,0.127617,0.308319,0.000000,True
0,15,0.000731,0.000717,0.000744,0.289950,0.198924,0.381625,0.000000,True,0.000752,0.000737,0.000766,-0.293257,-0.390139,-0.197128,0.000000,True
10,28,0.006742,0.000098,0.013763,-0.262220,-0.335334,-0.181384,0.000000,True,-0.000025,-0.007773,0.007918,-0.292777,-0.385069,-0.191319,0.000000,True
3,10,0.000043,-0.000220,0.000304,0.292636,0.203886,0.379055,0.000000,True,-0.000549,-0.000816,-0.000275,0.222351,0.123793,0.317132,0.000000,True
0,9,0.008409,0.008279,0.008530,0.292204,0.199941,0.382999,0.000000,True,0.008398,0.008264,0.008525,0.163494,0.073543,0.249365,0.000000,True
27,2,0.000682,0.000048,0.001315,0.090258,0.006374,0.190417,0.480000,False,0.000755,-0.000106,0.001582,-0.291664,-0.378968,-0.206401,0.000000,True
10,11,-0.000613,-0.001360,0.000077,0.291427,0.206044,0.384337,0.000000,True,-0.002164,-0.003880,-0.000521,0.237884,0.148893,0.329688,0.000000,True
0,28,-0.000407,-0.000418,-0.000395,0.291402,0.198622,0.382422,0.000000,True,-0.000413,-0.000429,-0.000398,-0.194698,-0.247056,-0.146115,0.000000,True
1,11,-0.002593,-0.002961,-0.002214,0.291369,0.203924,0.378942,0.000000,True,-0.001211,-0.001692,-0.000716,0.233999,0.139588,0.328093,0.000000,True
11,5,0.004931,-0.003334,0.013006,-0.240251,-0.332325,-0.144072,0.000000,True,0.000764,-0.006528,0.007593,-0.290508,-0.379845,-0.196869,0.000000,True
31,9,-0.000265,-0.000413,-0.000127,0.290049,0.208231,0.382284,0.000000,True,-0.001197,-0.001424,-0.000983,0.160310,0.087431,0.237158,0.000000,True
31,8,-0.000686,-0.000820,-0.000562,0.289983,0.200078,0.379107,0.000000,True,-0.001269,-0.001515,-0.001023,0.199368,0.110968,0.286693,0.000000,True
25,9,0.000023,0.000001,0.000046,0.289894,0.235946,0.349165,0.000000,True,-0.000130,-0.000219,-0.000042,0.080705,-0.037138,0.184791,0.156000,False
0,11,0.033742,0.032689,0.034864,0.289571,0.200833,0.373204,0.000000,True,0.034378,0.033294,0.035532,-0.275352,-0.350737,-0.199782,0.000000,True
22,25,0.002802,0.002279,0.003378,0.034604,-0.037890,0.104005,0.283000,False,0.000107,-0.001188,0.001443,-0.289436,-0.388596,-0.187035,0.000000,True
0,6,0.000184,0.000170,0.000198,0.289074,0.189514,0.386119,0.000000,True,0.000177,0.000163,0.000191,0.173550,0.080639,0.260312,0.000000,True
3,17,0.000000,-0.000010,0.000009,0.288811,0.217407,0.361223,0.000000,True,-0.000005,-0.000015,0.000004,0.035716,-0.029924,0.099628,0.285000,False
0,25,0.000923,0.000874,0.000974,0.288608,0.184301,0.390999,0.000000,True,0.000896,0.000853,0.000941,0.156749,0.062579,0.244362,0.000000,True
2,30,-0.000194,-0.000267,-0.000122,0.288240,0.188250,0.384806,0.000000,True,-0.000101,-0.000165,-0.000027,0.275902,0.176225,0.372935,0.000000,True
0,10,0.004271,0.003620,0.004938,0.288120,0.190770,0.384888,0.000000,True,0.004028,0.003422,0.004642,0.192354,0.094298,0.282981,0.000000,True
24,29,0.000221,0.000027,0.000409,0.287795,0.210447,0.368247,0.000000,True,0.000635,0.000320,0.000957,0.286759,0.195081,0.377474,0.000000,True
24,8,-0.000661,-0.000774,-0.000547,0.287280,0.228897,0.346800,0.000000,True,-0.001074,-0.001310,-0.000833,-0.098236,-0.180563,-0.022182,0.015000,False
20,31,0.003042,0.001264,0.005040,-0.183499,-0.249467,-0.115084,0.000000,True,-0.000854,-0.004029,0.002158,-0.287187,-0.368563,-0.204272,0.000000,True
28,7,-0.000962,-0.001304,-0.000674,0.287049,0.198390,0.381255,0.000000,True,-0.001440,-0.001795,-0.001109,0.233114,0.141370,0.321364,0.000000,True
12,13,0.007156,0.005961,0.008327,0.286938,0.197116,0.374559,0.000000,True,0.005541,0.003901,0.007171,0.207597,0.117757,0.298538,0.000000,True
1,3,-0.001226,-0.001576,-0.000886,0.286849,0.209411,0.369639,0.000000,True,0.000843,0.000289,0.001403,0.248632,0.153723,0.341530,0.000000,True
28,11,0.000330,-0.000130,0.000777,0.286565,0.214766,0.364052,0.000000,True,0.001474,0.000468,0.002395,-0.055163,-0.142449,0.022237,0.092000,False
10,26,0.001495,-0.000028,0.003119,0.139574,0.054272,0.219656,0.000000,True,-0.001112,-0.003837,0.001638,-0.286554,-0.390506,-0.180754,0.000000,True
7,31,0.002749,0.000877,0.004732,0.286551,0.184182,0.388058,0.000000,True,0.001562,-0.000520,0.003793,0.266848,0.170886,0.362544,0.000000,True
3,19,-0.000035,-0.000086,0.000016,0.286137,0.198789,0.374392,0.000000,True,-0.000189,-0.000235,-0.000144,0.265299,0.172067,0.358102,0.000000,True
1,6,-0.001572,-0.002150,-0.000956,0.286062,0.199857,0.370422,0.000000,True,-0.000788,-0.001465,-0.000057,0.225286,0.128872,0.320339,0.000000,True
12,27,-0.000687,-0.005855,0.005487,0.285942,0.183283,0.390068,0.000000,True,-0.000032,-0.005847,0.006758,0.208383,0.119080,0.299379,0.000000,True
22,21,-0.002421,-0.002948,-0.001909,-0.032202,-0.161576,0.084256,0.329000,False,-0.003161,-0.003910,-0.002450,-0.285767,-0.405801,-0.158865,0.000000,True
27,18,-0.003212,-0.004020,-0.002388,0.204574,0.116624,0.295433,0.000000,True,-0.004860,-0.006075,-0.003610,-0.285723,-0.400597,-0.162626,0.000000,True
17,1,0.007854,0.006507,0.009165,-0.057093,-0.126517,0.005915,0.298000,False,0.005465,0.003931,0.006923,-0.285202,-0.373768,-0.207348,0.000000,True
9,24,-0.007882,-0.009628,-0.006075,0.284948,0.192136,0.375269,0.000000,True,-0.007213,-0.009274,-0.005034,0.221704,0.125880,0.315589,0.000000,True
0,5,0.000414,0.000400,0.000426,0.284804,0.181205,0.384297,0.000000,True,0.000408,0.000396,0.000421,0.141469,0.050663,0.226760,0.000000,True
1,30,0.000274,-0.000580,0.001058,0.284634,0.193385,0.375864,0.000000,True,0.000947,0.000100,0.001727,0.232066,0.137394,0.324511,0.000000,True
5,26,-0.000351,-0.000490,-0.000211,0.284537,0.196272,0.372573,0.000000,True,-0.001060,-0.001273,-0.000838,0.229155,0.131960,0.324378,0.000000,True
17,16,-0.003653,-0.004494,-0.002874,0.043235,-0.032108,0.111205,0.942000,False,-0.003362,-0.004425,-0.002387,-0.284435,-0.380011,-0.184651,0.000000,True
29,2,0.006332,0.004128,0.008581,-0.118252,-0.190336,-0.046468,0.008000,False,0.006636,0.004543,0.008717,-0.284347,-0.353863,-0.211919,0.000000,True
10,9,-0.001194,-0.001756,-0.000690,0.284270,0.182544,0.384119,0.000000,True,-0.003280,-0.004526,-0.002144,0.280024,0.184395,0.375922,0.000000,True
30,8,0.002476,0.001889,0.003052,0.122728,0.054064,0.203762,0.001000,False,0.004597,0.003384,0.005783,-0.284083,-0.379317,-0.191995,0.000000,True
4,26,-0.001151,-0.001626,-0.000704,0.283948,0.186164,0.378294,0.000000,True,-0.001690,-0.002200,-0.001186,0.259845,0.160078,0.357092,0.000000,True
10,2,0.003199,-0.001501,0.008418,-0.194847,-0.277786,-0.116738,0.000000,True,0.003111,-0.001751,0.008515,-0.283734,-0.373277,-0.189044,0.000000,True
28,13,-0.021726,-0.024967,-0.018390,0.132833,0.041045,0.218658,0.027000,False,-0.017937,-0.021853,-0.014019,-0.283666,-0.370455,-0.203526,0.000000,True
23,10,-0.002073,-0.002499,-0.001673,0.283609,0.210483,0.357629,0.000000,True,-0.002124,-0.002988,-0.001280,0.080594,0.019274,0.143679,0.010000,False
4,31,0.003547,0.001650,0.005663,0.237281,0.152529,0.323262,0.000000,True,0.002644,0.000768,0.004775,0.283585,0.187456,0.378208,0.000000,True
24,5,0.001399,0.000955,0.001855,0.076531,0.005553,0.154747,0.703000,False,0.001308,-0.000877,0.003560,-0.283566,-0.377699,-0.182131,0.000000,True
